import time: self [us] | cumulative | imported package
import time:       173 |        173 |   _io
import time:        22 |         22 |   marshal
import time:       211 |        211 |   posix
import time:       222 |        627 | _frozen_importlib_external
import time:       956 |        956 |   time
import time:        85 |       1040 | zipimport
import time:        87 |         87 |     _codecs
import time:       157 |        243 |   codecs
import time:       509 |        509 |   encodings.aliases
import time:       661 |       1412 | encodings
import time:       305 |        305 | encodings.utf_8
import time:        71 |         71 | _signal
import time:        20 |         20 |     _abc
import time:        86 |        106 |   abc
import time:       109 |        215 | io
import time:        34 |         34 |       _stat
import time:        36 |         70 |     stat
import time:       548 |        548 |     _collections_abc
import time:        20 |         20 |       genericpath
import time:        39 |         58 |     posixpath
import time:       206 |        880 |   os
import time:        45 |         45 |   _sitebuiltins
import time:       227 |        227 |   sitecustomize
import time:       351 |       1501 | site
import time:       354 |        354 |         django.utils
import time:       546 |        546 |           _datetime
import time:       264 |        809 |         datetime
import time:        83 |         83 |             itertools
import time:       254 |        254 |             keyword
import time:        52 |         52 |               _operator
import time:       359 |        410 |             operator
import time:       328 |        328 |             reprlib
import time:        47 |         47 |             _collections
import time:       889 |       2008 |           collections
import time:       466 |        466 |           types
import time:        33 |         33 |           _functools
import time:       638 |       3143 |         functools
import time:        36 |         36 |           errno
import time:      1032 |       1032 |               enum
import time:       103 |        103 |                 _sre
import time:       287 |        287 |                   re._constants
import time:       418 |        704 |                 re._parser
import time:       226 |        226 |                 re._casefix
import time:       802 |       1834 |               re._compiler
import time:       261 |        261 |               copyreg
import time:       510 |       3635 |             re
import time:        47 |         47 |             _locale
import time:       927 |       4608 |           locale
import time:       510 |        510 |           signal
import time:       307 |        307 |             _weakrefset
import time:       736 |       1043 |           threading
import time:       348 |        348 |           warnings
import time:       615 |        615 |           contextlib
import time:       600 |        600 |           fcntl
import time:        55 |         55 |           msvcrt
import time:       595 |        595 |           _posixsubprocess
import time:       557 |        557 |           select
import time:       823 |        823 |             collections.abc
import time:       486 |        486 |             math
import time:       543 |       1852 |           selectors
import time:       858 |      11674 |         subprocess
import time:       417 |        417 |               weakref
import time:       249 |        666 |             copy
import time:       322 |        988 |           django.utils.functional
import time:       313 |       1300 |         django.utils.regex_helper
import time:       584 |      17862 |       django.utils.version
import time:       365 |      18226 |     django
import time:       281 |      18506 |   django.core
import time:       339 |        339 |     importlib
import time:       483 |        483 |       importlib._abc
import time:        72 |        554 |     importlib.util
import time:        22 |         22 |     importlib.machinery
import time:        21 |         21 |       _typing
import time:      1886 |       1906 |     typing
import time:       400 |       3220 |   pkgutil
import time:       705 |        705 |     gettext
import time:       913 |       1618 |   argparse
import time:       539 |        539 |       _heapq
import time:       460 |        998 |     heapq
import time:       617 |       1615 |   difflib
import time:       717 |        717 |           _ast
import time:       945 |       1662 |         ast
import time:       359 |        359 |             _opcode
import time:       389 |        748 |           opcode
import time:       637 |       1385 |         dis
import time:       205 |        205 |             token
import time:        18 |         18 |             _tokenize
import time:       715 |        937 |           tokenize
import time:       240 |       1176 |         linecache
import time:      1342 |       5564 |       inspect
import time:       195 |        195 |         django.utils.hashable
import time:       413 |        607 |       django.core.exceptions
import time:       213 |        213 |       django.utils.module_loading
import time:       431 |       6813 |     django.apps.config
import time:       285 |        285 |     django.apps.registry
import time:       309 |       7407 |   django.apps
import time:       705 |        705 |       textwrap
import time:       593 |       1297 |     traceback
import time:       232 |        232 |       fnmatch
import time:        44 |         44 |         _winapi
import time:        28 |         28 |         nt
import time:        26 |         26 |         nt
import time:        25 |         25 |         nt
import time:        24 |         24 |         nt
import time:        23 |         23 |         nt
import time:        23 |         23 |         nt
import time:        52 |        243 |       ntpath
import time:       213 |        213 |         urllib
import time:      1301 |       1301 |         ipaddress
import time:       898 |       2410 |       urllib.parse
import time:       612 |       3496 |     pathlib
import time:       326 |        326 |     django.conf.global_settings
import time:       309 |       5426 |   django.conf
import time:       261 |        261 |       django.core.checks.messages
import time:       472 |        472 |         django.utils.inspect
import time:       316 |        787 |       django.core.checks.registry
import time:       234 |        234 |       django.core.checks.async_checks
import time:       257 |        257 |                       concurrent
import time:        18 |         18 |                             _string
import time:       562 |        580 |                           string
import time:        19 |         19 |                           atexit
import time:      1047 |       1644 |                         logging
import time:       519 |       2163 |                       concurrent.futures._base
import time:       196 |       2615 |                     concurrent.futures
import time:       719 |        719 |                       _socket
import time:       434 |        434 |                       array
import time:       807 |       1959 |                     socket
import time:      1980 |       1980 |                       _ssl
import time:       476 |        476 |                           _struct
import time:       186 |        662 |                         struct
import time:       405 |        405 |                         binascii
import time:       290 |       1356 |                       base64
import time:      1600 |       4935 |                     ssl
import time:       245 |        245 |                     asyncio.constants
import time:       202 |        202 |                     asyncio.coroutines
import time:       508 |        508 |                         _contextvars
import time:        99 |        606 |                       contextvars
import time:       119 |        119 |                       asyncio.format_helpers
import time:       117 |        117 |                         asyncio.base_futures
import time:       149 |        149 |                         asyncio.exceptions
import time:       199 |        199 |                         asyncio.base_tasks
import time:       500 |        964 |                       _asyncio
import time:       549 |       2237 |                     asyncio.events
import time:       273 |        273 |                     asyncio.futures
import time:       271 |        271 |                     asyncio.protocols
import time:       426 |        426 |                       asyncio.transports
import time:       146 |        146 |                       asyncio.log
import time:       604 |       1174 |                     asyncio.sslproto
import time:       112 |        112 |                         asyncio.mixins
import time:       470 |        582 |                       asyncio.locks
import time:       417 |        417 |                         asyncio.timeouts
import time:       411 |        828 |                       asyncio.tasks
import time:       284 |       1693 |                     asyncio.staggered
import time:       246 |        246 |                     asyncio.trsock
import time:       646 |      16492 |                   asyncio.base_events
import time:       278 |        278 |                   asyncio.runners
import time:       303 |        303 |                   asyncio.queues
import time:       329 |        329 |                   asyncio.streams
import time:       157 |        157 |                   asyncio.subprocess
import time:       217 |        217 |                   asyncio.taskgroups
import time:        90 |         90 |                   asyncio.threads
import time:       317 |        317 |                     asyncio.base_subprocess
import time:       886 |        886 |                     asyncio.selector_events
import time:       554 |       1755 |                   asyncio.unix_events
import time:       237 |      19854 |                 asyncio
import time:       259 |        259 |                   asgiref
import time:       532 |        532 |                       _queue
import time:       284 |        815 |                     queue
import time:       166 |        981 |                   concurrent.futures.thread
import time:       261 |        261 |                   asgiref.current_thread_executor
import time:       232 |        232 |                   asgiref.local
import time:       721 |       2452 |                 asgiref.sync
import time:       290 |      22595 |               django.dispatch.dispatcher
import time:       163 |      22758 |             django.dispatch
import time:       162 |      22919 |           django.core.signals
import time:       236 |        236 |             django.core.cache.backends
import time:       364 |        599 |           django.core.cache.backends.base
import time:       222 |        222 |           django.utils.connection
import time:       221 |      23960 |         django.core.cache
import time:       210 |        210 |           glob
import time:       303 |        303 |             _compat_pickle
import time:       588 |        588 |             _pickle
import time:       734 |       1624 |           pickle
import time:       481 |        481 |               _bisect
import time:       101 |        581 |             bisect
import time:       628 |        628 |             _random
import time:       531 |        531 |             _sha2
import time:       419 |       2158 |           random
import time:       515 |        515 |               zlib
import time:       250 |        250 |                 _compression
import time:       553 |        553 |                 _bz2
import time:       278 |       1081 |               bz2
import time:       677 |        677 |                 _lzma
import time:       292 |        969 |               lzma
import time:       535 |       3098 |             shutil
import time:       443 |       3541 |           tempfile
import time:      1019 |       1019 |             _hashlib
import time:       556 |        556 |             _blake2
import time:       309 |       1883 |           hashlib
import time:       197 |        197 |               django.core.files.utils
import time:       344 |        540 |             django.core.files.base
import time:       183 |        723 |           django.core.files
import time:       283 |        283 |           django.core.files.locks
import time:       226 |        226 |           django.core.files.move
import time:       259 |      10903 |         django.core.cache.backends.filebased
import time:       259 |      35122 |       django.core.checks.caches
import time:       209 |        209 |       django.core.checks.commands
import time:       205 |        205 |         django.core.checks.compatibility
import time:       251 |        456 |       django.core.checks.compatibility.django_4_0
import time:       364 |        364 |           django.db.utils
import time:       208 |        572 |         django.db
import time:       114 |        685 |       django.core.checks.database
import time:       205 |        205 |       django.core.checks.files
import time:       238 |        238 |       django.core.checks.model_checks
import time:       165 |        165 |         django.core.checks.security
import time:       381 |        546 |       django.core.checks.security.base
import time:       178 |        178 |       django.core.checks.security.csrf
import time:       248 |        248 |       django.core.checks.security.sessions
import time:       173 |        173 |       django.core.checks.templates
import time:       403 |        403 |               numbers
import time:       975 |       1378 |             _decimal
import time:       180 |       1557 |           decimal
import time:       634 |        634 |             termios
import time:        30 |         30 |             pywatchman
import time:       416 |       1080 |           django.utils.autoreload
import time:       483 |       3118 |         django.utils.translation
import time:       250 |        250 |           django.conf.locale
import time:       228 |        228 |           django.utils.safestring
import time:       445 |        922 |         django.utils.translation.trans_real
import time:       225 |       4264 |       django.core.checks.translation
import time:       155 |        155 |       django.core.checks.urls
import time:       250 |      44003 |     django.core.checks
import time:       122 |        122 |       django.utils.termcolors
import time:        30 |         30 |       colorama
import time:       133 |        284 |     django.core.management.color
import time:       450 |      44736 |   django.core.management.base
import time:       518 |      83042 | django.core.management
import time:       460 |        460 |         http
import time:       834 |        834 |         http.cookies
import time:       216 |       1510 |       django.http.cookie
import time:       770 |        770 |                 _json
import time:       359 |       1129 |               json.scanner
import time:       346 |       1474 |             json.decoder
import time:       235 |        235 |             json.encoder
import time:       224 |       1933 |           json
import time:       146 |        146 |             hmac
import time:       184 |        184 |             secrets
import time:       318 |        318 |             django.utils.encoding
import time:       217 |        864 |           django.utils.crypto
import time:       255 |       3051 |         django.core.signing
import time:       200 |        200 |             django.core.files.temp
import time:       284 |        483 |           django.core.files.uploadedfile
import time:       779 |       1262 |         django.core.files.uploadhandler
import time:       938 |        938 |             html.entities
import time:       431 |       1369 |           html
import time:       417 |        417 |           django.utils.datastructures
import time:      1045 |       1045 |             unicodedata
import time:       293 |        293 |               email
import time:       839 |        839 |                 calendar
import time:       447 |       1286 |               email._parseaddr
import time:       209 |        209 |                 email.base64mime
import time:       204 |        204 |                 email.quoprimime
import time:       450 |        450 |                 email.errors
import time:       238 |        238 |                   quopri
import time:       206 |        443 |                 email.encoders
import time:       329 |       1633 |               email.charset
import time:       627 |       3838 |             email.utils
import time:       345 |       5227 |           django.utils.http
import time:       511 |       7522 |         django.http.multipartparser
import time:       502 |      12336 |       django.http.request
import time:        34 |         34 |           _winapi
import time:        26 |         26 |           winreg
import time:       348 |        408 |         mimetypes
import time:       515 |        515 |         email.header
import time:       298 |        298 |               email._policybase
import time:       423 |        720 |             email.feedparser
import time:       255 |        975 |           email.parser
import time:       241 |        241 |             email._encoded_words
import time:       288 |        288 |             email.iterators
import time:       472 |       1001 |           email.message
import time:       796 |       2771 |         http.client
import time:       536 |        536 |                   django.db.models.utils
import time:       322 |        858 |                 django.db.models.signals
import time:       889 |        889 |                       _uuid
import time:       466 |       1355 |                     uuid
import time:       324 |        324 |                                         django.template.context
import time:       259 |        259 |                                         django.utils.deprecation
import time:       120 |        120 |                                             django.utils.dates
import time:       404 |        404 |                                                   sysconfig
import time:       528 |        528 |                                                   _sysconfigdata__darwin_darwin
import time:       297 |        297 |                                                   _osx_support
import time:      1072 |       2299 |                                                 zoneinfo._tzpath
import time:       232 |        232 |                                                 zoneinfo._common
import time:       700 |        700 |                                                 _zoneinfo
import time:       213 |       3442 |                                               zoneinfo
import time:       226 |       3667 |                                             django.utils.timezone
import time:       260 |       4046 |                                           django.utils.dateformat
import time:       139 |        139 |                                           django.utils.numberformat
import time:       334 |       4519 |                                         django.utils.formats
import time:       380 |        380 |                                             _markupbase
import time:       761 |       1140 |                                           html.parser
import time:       171 |        171 |                                             django.utils.deconstruct
import time:        97 |         97 |                                             django.utils.ipv6
import time:      1062 |       1329 |                                           django.core.validators
import time:       503 |        503 |                                             gzip
import time:       633 |       1136 |                                           django.utils.text
import time:       529 |       4133 |                                         django.utils.html
import time:       156 |        156 |                                         django.template.exceptions
import time:       615 |      10004 |                                       django.template.base
import time:       363 |        363 |                                       django.template.library
import time:       282 |      10649 |                                     django.template.engine
import time:       264 |        264 |                                     django.template.utils
import time:        99 |         99 |                                         django.template.backends
import time:       174 |        174 |                                           django.utils._os
import time:       114 |        288 |                                         django.template.backends.base
import time:       296 |        682 |                                       django.template.backends.django
import time:       210 |        892 |                                     django.template.autoreload
import time:       218 |      12021 |                                   django.template
import time:         9 |      12029 |                                 django.template.backends
import time:         9 |      12038 |                               django.template.backends.django
import time:       109 |        109 |                               django.template.loader
import time:       226 |      12371 |                             django.forms.renderers
import time:       309 |      12679 |                           django.forms.utils
import time:       279 |        279 |                             graphlib
import time:        97 |         97 |                               django.templatetags
import time:       257 |        354 |                             django.templatetags.static
import time:       241 |        241 |                             django.utils.choices
import time:       893 |       1766 |                           django.forms.widgets
import time:       369 |      14812 |                         django.forms.boundfield
