import time: self [us] | cumulative | imported package
import time:       195 |        195 |   _io
import time:        25 |         25 |   marshal
import time:       211 |        211 |   posix
import time:       211 |        640 | _frozen_importlib_external
import time:       890 |        890 |   time
import time:        70 |        960 | zipimport
import time:        63 |         63 |     _codecs
import time:       112 |        175 |   codecs
import time:       461 |        461 |   encodings.aliases
import time:       556 |       1191 | encodings
import time:       235 |        235 | encodings.utf_8
import time:        52 |         52 | _signal
import time:        15 |         15 |     _abc
import time:        71 |         86 |   abc
import time:        82 |        168 | io
import time:        25 |         25 |       _stat
import time:        27 |         52 |     stat
import time:       412 |        412 |     _collections_abc
import time:        15 |         15 |       genericpath
import time:        29 |         43 |     posixpath
import time:       152 |        658 |   os
import time:        33 |         33 |   _sitebuiltins
import time:       180 |        180 |   sitecustomize
import time:       241 |       1110 | site
import time:       222 |        222 |         django.utils
import time:       588 |        588 |           _datetime
import time:       276 |        863 |         datetime
import time:        60 |         60 |             itertools
import time:       366 |        366 |             keyword
import time:        34 |         34 |               _operator
import time:       378 |        411 |             operator
import time:       313 |        313 |             reprlib
import time:        33 |         33 |             _collections
import time:       751 |       1931 |           collections
import time:       475 |        475 |           types
import time:        25 |         25 |           _functools
import time:       613 |       3043 |         functools
import time:        28 |         28 |           errno
import time:      1044 |       1044 |               enum
import time:       113 |        113 |                 _sre
import time:       314 |        314 |                   re._constants
import time:       475 |        789 |                 re._parser
import time:       279 |        279 |                 re._casefix
import time:      1310 |       2490 |               re._compiler
import time:       304 |        304 |               copyreg
import time:       675 |       4512 |             re
import time:        52 |         52 |             _locale
import time:      1208 |       5771 |           locale
import time:       524 |        524 |           signal
import time:       812 |        812 |             _weakrefset
import time:      1211 |       2022 |           threading
import time:       510 |        510 |           warnings
import time:       677 |        677 |           contextlib
import time:       929 |        929 |           fcntl
import time:        45 |         45 |           msvcrt
import time:       650 |        650 |           _posixsubprocess
import time:       536 |        536 |           select
import time:      1059 |       1059 |             collections.abc
import time:       443 |        443 |             math
import time:       503 |       2004 |           selectors
import time:       660 |      14351 |         subprocess
import time:       493 |        493 |               weakref
import time:       229 |        721 |             copy
import time:       309 |       1030 |           django.utils.functional
import time:       293 |       1323 |         django.utils.regex_helper
import time:       320 |      20118 |       django.utils.version
import time:       335 |      20453 |     django
import time:       211 |      20663 |   django.core
import time:       292 |        292 |     importlib
import time:       438 |        438 |       importlib._abc
import time:        65 |        502 |     importlib.util
import time:        22 |         22 |     importlib.machinery
import time:        17 |         17 |       _typing
import time:      1525 |       1541 |     typing
import time:       437 |       2792 |   pkgutil
import time:       695 |        695 |     gettext
import time:       861 |       1556 |   argparse
import time:       553 |        553 |       _heapq
import time:       241 |        794 |     heapq
import time:       646 |       1440 |   difflib
import time:       686 |        686 |           _ast
import time:       896 |       1581 |         ast
import time:       312 |        312 |             _opcode
import time:       355 |        667 |           opcode
import time:       642 |       1308 |         dis
import time:       206 |        206 |             token
import time:        18 |         18 |             _tokenize
import time:       689 |        912 |           tokenize
import time:       227 |       1139 |         linecache
import time:      1252 |       5280 |       inspect
import time:       383 |        383 |         django.utils.hashable
import time:       550 |        932 |       django.core.exceptions
import time:       251 |        251 |       django.utils.module_loading
import time:       289 |       6750 |     django.apps.config
import time:       401 |        401 |     django.apps.registry
import time:       264 |       7415 |   django.apps
import time:       893 |        893 |       textwrap
import time:      1084 |       1976 |     traceback
import time:       542 |        542 |       fnmatch
import time:        35 |         35 |         _winapi
import time:        28 |         28 |         nt
import time:        26 |         26 |         nt
import time:        25 |         25 |         nt
import time:        24 |         24 |         nt
import time:        24 |         24 |         nt
import time:        24 |         24 |         nt
import time:        57 |        239 |       ntpath
import time:       238 |        238 |         urllib
import time:      1429 |       1429 |         ipaddress
import time:       943 |       2609 |       urllib.parse
import time:       648 |       4037 |     pathlib
import time:       368 |        368 |     django.conf.global_settings
import time:       316 |       6697 |   django.conf
import time:       274 |        274 |       django.core.checks.messages
import time:       307 |        307 |         django.utils.inspect
import time:       306 |        613 |       django.core.checks.registry
import time:       214 |        214 |       django.core.checks.async_checks
import time:       996 |        996 |                       concurrent
import time:        23 |         23 |                             _string
import time:       887 |        909 |                           string
import time:        23 |         23 |                           atexit
import time:      1355 |       2286 |                         logging
import time:       756 |       3042 |                       concurrent.futures._base
import time:      1043 |       5080 |                     concurrent.futures
import time:       971 |        971 |                       _socket
import time:       691 |        691 |                       array
import time:       958 |       2619 |                     socket
import time:      7443 |       7443 |                       _ssl
import time:      1060 |       1060 |                           _struct
import time:       323 |       1383 |                         struct
import time:      1742 |       1742 |                         binascii
import time:       849 |       3973 |                       base64
import time:      7472 |      18886 |                     ssl
import time:       368 |        368 |                     asyncio.constants
import time:       254 |        254 |                     asyncio.coroutines
import time:      1665 |       1665 |                         _contextvars
import time:       228 |       1892 |                       contextvars
import time:       151 |        151 |                       asyncio.format_helpers
import time:       133 |        133 |                         asyncio.base_futures
import time:       188 |        188 |                         asyncio.exceptions
import time:       229 |        229 |                         asyncio.base_tasks
import time:      1244 |       1791 |                       _asyncio
import time:       708 |       4541 |                     asyncio.events
import time:       309 |        309 |                     asyncio.futures
import time:       267 |        267 |                     asyncio.protocols
import time:       441 |        441 |                       asyncio.transports
import time:       114 |        114 |                       asyncio.log
import time:       581 |       1135 |                     asyncio.sslproto
import time:       109 |        109 |                         asyncio.mixins
import time:       446 |        555 |                       asyncio.locks
import time:       596 |        596 |                         asyncio.timeouts
import time:       427 |       1022 |                       asyncio.tasks
import time:       270 |       1847 |                     asyncio.staggered
import time:       370 |        370 |                     asyncio.trsock
import time:      2431 |      38100 |                   asyncio.base_events
import time:       467 |        467 |                   asyncio.runners
import time:       505 |        505 |                   asyncio.queues
import time:       545 |        545 |                   asyncio.streams
import time:       288 |        288 |                   asyncio.subprocess
import time:       345 |        345 |                   asyncio.taskgroups
import time:       261 |        261 |                   asyncio.threads
import time:       431 |        431 |                     asyncio.base_subprocess
import time:      1202 |       1202 |                     asyncio.selector_events
import time:       820 |       2452 |                   asyncio.unix_events
import time:      1384 |      44342 |                 asyncio
import time:   1816956 |    1816956 |                   asgiref
import time:      1782 |       1782 |                       _queue
import time:      1182 |       2963 |                     queue
import time:      2148 |       5110 |                   concurrent.futures.thread
import time:   1398003 |    1398003 |                   asgiref.current_thread_executor
import time:   1374210 |    1374210 |                   asgiref.local
import time:   1370450 |    5964728 |                 asgiref.sync
import time:   2294678 |    8303746 |               django.dispatch.dispatcher
import time:   1750187 |   10053932 |             django.dispatch
import time:   2475669 |   12529601 |           django.core.signals
import time:   1287180 |    1287180 |             django.core.cache.backends
import time:   1484313 |    2771493 |           django.core.cache.backends.base
import time:   1511089 |    1511089 |           django.utils.connection
import time:   1411594 |   18223775 |         django.core.cache
import time:      1278 |       1278 |           glob
import time:       835 |        835 |             _compat_pickle
import time:      1636 |       1636 |             _pickle
import time:      3284 |       5755 |           pickle
import time:       970 |        970 |               _bisect
import time:       336 |       1305 |             bisect
import time:      1105 |       1105 |             _random
import time:      1020 |       1020 |             _sha2
import time:      1161 |       4590 |           random
import time:      1301 |       1301 |               zlib
import time:       478 |        478 |                 _compression
import time:      1226 |       1226 |                 _bz2
import time:       653 |       2356 |               bz2
import time:      1542 |       1542 |                 _lzma
import time:       547 |       2089 |               lzma
import time:      1251 |       6995 |             shutil
import time:       798 |       7793 |           tempfile
import time:      5702 |       5702 |             _hashlib
import time:     22956 |      22956 |             _blake2
import time:      1687 |      30344 |           hashlib
import time:   1328106 |    1328106 |               django.core.files.utils
import time:   1456461 |    2784567 |             django.core.files.base
import time:   1455260 |    4239826 |           django.core.files
import time:   1398885 |    1398885 |           django.core.files.locks
import time:   1427131 |    1427131 |           django.core.files.move
import time:   1644124 |    8759721 |         django.core.cache.backends.filebased
import time:       881 |   26984377 |       django.core.checks.caches
import time:   1544879 |    1544879 |       django.core.checks.commands
import time:   2297076 |    2297076 |         django.core.checks.compatibility
import time:   1797145 |    4094220 |       django.core.checks.compatibility.django_4_0
import time:   1836366 |    1836366 |           django.db.utils
import time:   2129132 |    3965498 |         django.db
import time:   1766273 |    5731771 |       django.core.checks.database
import time:   1796113 |    1796113 |       django.core.checks.files
import time:   1754240 |    1754240 |       django.core.checks.model_checks
import time:   1820545 |    1820545 |         django.core.checks.security
import time:   1123194 |    2943738 |       django.core.checks.security.base
import time:   2646073 |    2646073 |       django.core.checks.security.csrf
import time:   1663377 |    1663377 |       django.core.checks.security.sessions
import time:   1676460 |    1676460 |       django.core.checks.templates
import time:      1163 |       1163 |               numbers
import time:      3705 |       4867 |             _decimal
import time:      1097 |       5964 |           decimal
import time:      1273 |       1273 |             termios
import time:        80 |         80 |             pywatchman
import time:   1754036 |    1755388 |           django.utils.autoreload
import time:   2124222 |    3885573 |         django.utils.translation
import time:   1801817 |    1801817 |           django.conf.locale
import time:   2112565 |    2112565 |           django.utils.safestring
import time:   2766008 |    6680389 |         django.utils.translation.trans_real
import time:   1532162 |   12098123 |       django.core.checks.translation
import time:   1769420 |    1769420 |       django.core.checks.urls
import time:       850 |   64704735 |     django.core.checks
import time:   2037088 |    2037088 |       django.utils.termcolors
import time:       647 |        647 |       colorama
import time:   1775551 |    3813286 |     django.core.management.color
import time:      1818 |   68519839 |   django.core.management.base
import time:       859 |   68561257 | django.core.management
import time:      7981 |       7981 |         http
import time:      4112 |       4112 |         http.cookies
import time:   2608818 |    2620910 |       django.http.cookie
import time:      1221 |       1221 |                 _json
import time:       427 |       1647 |               json.scanner
import time:       745 |       2391 |             json.decoder
import time:       384 |        384 |             json.encoder
import time:       502 |       3276 |           json
import time:       464 |        464 |             hmac
import time:       277 |        277 |             secrets
import time:   1426815 |    1426815 |             django.utils.encoding
import time:   2008401 |    3435956 |           django.utils.crypto
import time:   2205346 |    5644577 |         django.core.signing
import time:   2098331 |    2098331 |             django.core.files.temp
import time:   1918356 |    4016686 |           django.core.files.uploadedfile
import time:   1538487 |    5555173 |         django.core.files.uploadhandler
import time:      2912 |       2912 |             html.entities
import time:      1409 |       4321 |           html
import time:   1368691 |    1368691 |           django.utils.datastructures
import time:      4137 |       4137 |             unicodedata
import time:       511 |        511 |               email
import time:      1419 |       1419 |                 calendar
import time:       489 |       1908 |               email._parseaddr
import time:       377 |        377 |                 email.base64mime
