import time: self [us] | cumulative | imported package
import time:       155 |        155 |   _io
import time:        19 |         19 |   marshal
import time:       236 |        236 |   posix
import time:       204 |        613 | _frozen_importlib_external
import time:       989 |        989 |   time
import time:        74 |       1063 | zipimport
import time:        80 |         80 |     _codecs
import time:       134 |        213 |   codecs
import time:       461 |        461 |   encodings.aliases
import time:       643 |       1317 | encodings
import time:       308 |        308 | encodings.utf_8
import time:        78 |         78 | _signal
import time:        18 |         18 |     _abc
import time:        76 |         94 |   abc
import time:        94 |        187 | io
import time:        31 |         31 |       _stat
import time:        32 |         63 |     stat
import time:       462 |        462 |     _collections_abc
import time:        16 |         16 |       genericpath
import time:        30 |         46 |     posixpath
import time:       169 |        737 |   os
import time:        34 |         34 |   _sitebuiltins
import time:       178 |        178 |   sitecustomize
import time:       263 |       1211 | site
import time:       270 |        270 |         django.utils
import time:       469 |        469 |           _datetime
import time:       208 |        677 |         datetime
import time:        70 |         70 |             itertools
import time:       227 |        227 |             keyword
import time:        35 |         35 |               _operator
import time:       296 |        331 |             operator
import time:       242 |        242 |             reprlib
import time:        36 |         36 |             _collections
import time:       698 |       1600 |           collections
import time:       314 |        314 |           types
import time:        27 |         27 |           _functools
import time:       566 |       2505 |         functools
import time:        30 |         30 |           errno
import time:       868 |        868 |               enum
import time:        91 |         91 |                 _sre
import time:       307 |        307 |                   re._constants
import time:       261 |        567 |                 re._parser
import time:       227 |        227 |                 re._casefix
import time:       451 |       1335 |               re._compiler
import time:       201 |        201 |               copyreg
import time:       459 |       2862 |             re
import time:        40 |         40 |             _locale
import time:       791 |       3692 |           locale
import time:       461 |        461 |           signal
import time:       260 |        260 |             _weakrefset
import time:       593 |        852 |           threading
import time:       313 |        313 |           warnings
import time:       471 |        471 |           contextlib
import time:       517 |        517 |           fcntl
import time:        39 |         39 |           msvcrt
import time:       522 |        522 |           _posixsubprocess
import time:       513 |        513 |           select
import time:       719 |        719 |             collections.abc
import time:       429 |        429 |             math
import time:       355 |       1502 |           selectors
import time:       551 |       9459 |         subprocess
import time:       404 |        404 |               weakref
import time:       229 |        632 |             copy
import time:       304 |        935 |           django.utils.functional
import time:       281 |       1216 |         django.utils.regex_helper
import time:       431 |      14556 |       django.utils.version
import time:       340 |      14895 |     django
import time:       200 |      15095 |   django.core
import time:       202 |        202 |     importlib
import time:       241 |        241 |       importlib._abc
import time:        64 |        304 |     importlib.util
import time:        22 |         22 |     importlib.machinery
import time:        18 |         18 |       _typing
import time:      1588 |       1605 |     typing
import time:       356 |       2487 |   pkgutil
import time:       723 |        723 |     gettext
import time:       847 |       1570 |   argparse
import time:       541 |        541 |       _heapq
import time:       299 |        840 |     heapq
import time:       591 |       1430 |   difflib
import time:       693 |        693 |           _ast
import time:       892 |       1584 |         ast
import time:       338 |        338 |             _opcode
import time:       376 |        713 |           opcode
import time:       621 |       1334 |         dis
import time:       199 |        199 |             token
import time:        18 |         18 |             _tokenize
import time:       610 |        826 |           tokenize
import time:       256 |       1082 |         linecache
import time:      1324 |       5323 |       inspect
import time:       177 |        177 |         django.utils.hashable
import time:       412 |        589 |       django.core.exceptions
import time:       199 |        199 |       django.utils.module_loading
import time:       296 |       6405 |     django.apps.config
import time:       263 |        263 |     django.apps.registry
import time:       317 |       6984 |   django.apps
import time:       558 |        558 |       textwrap
import time:       492 |       1050 |     traceback
import time:       296 |        296 |       fnmatch
import time:        32 |         32 |         _winapi
import time:        28 |         28 |         nt
import time:        25 |         25 |         nt
import time:        24 |         24 |         nt
import time:        24 |         24 |         nt
import time:        25 |         25 |         nt
import time:        25 |         25 |         nt
import time:        52 |        233 |       ntpath
import time:       218 |        218 |         urllib
import time:      1244 |       1244 |         ipaddress
import time:       754 |       2215 |       urllib.parse
import time:       632 |       3374 |     pathlib
import time:       438 |        438 |     django.conf.global_settings
import time:       298 |       5157 |   django.conf
import time:       309 |        309 |       django.core.checks.messages
import time:       365 |        365 |         django.utils.inspect
import time:       335 |        700 |       django.core.checks.registry
import time:       225 |        225 |       django.core.checks.async_checks
import time:       275 |        275 |                       concurrent
import time:        16 |         16 |                             _string
import time:       544 |        560 |                           string
import time:        18 |         18 |                           atexit
import time:      1034 |       1612 |                         logging
import time:       526 |       2137 |                       concurrent.futures._base
import time:       197 |       2609 |                     concurrent.futures
import time:       740 |        740 |                       _socket
import time:       514 |        514 |                       array
import time:       842 |       2095 |                     socket
import time:      1970 |       1970 |                       _ssl
import time:       731 |        731 |                           _struct
import time:       270 |       1000 |                         struct
import time:       513 |        513 |                         binascii
import time:       438 |       1950 |                       base64
import time:      1691 |       5611 |                     ssl
import time:       406 |        406 |                     asyncio.constants
import time:       365 |        365 |                     asyncio.coroutines
import time:       523 |        523 |                         _contextvars
import time:       110 |        633 |                       contextvars
import time:       122 |        122 |                       asyncio.format_helpers
import time:       137 |        137 |                         asyncio.base_futures
import time:       166 |        166 |                         asyncio.exceptions
import time:       213 |        213 |                         asyncio.base_tasks
import time:       557 |       1071 |                       _asyncio
import time:       486 |       2310 |                     asyncio.events
import time:       275 |        275 |                     asyncio.futures
import time:       241 |        241 |                     asyncio.protocols
import time:       309 |        309 |                       asyncio.transports
import time:        84 |         84 |                       asyncio.log
import time:       481 |        873 |                     asyncio.sslproto
import time:        99 |         99 |                         asyncio.mixins
import time:       392 |        490 |                       asyncio.locks
import time:       411 |        411 |                         asyncio.timeouts
import time:       389 |        800 |                       asyncio.tasks
import time:       213 |       1502 |                     asyncio.staggered
import time:       237 |        237 |                     asyncio.trsock
import time:       692 |      17211 |                   asyncio.base_events
import time:       273 |        273 |                   asyncio.runners
import time:       280 |        280 |                   asyncio.queues
import time:       310 |        310 |                   asyncio.streams
import time:       162 |        162 |                   asyncio.subprocess
import time:       203 |        203 |                   asyncio.taskgroups
import time:        89 |         89 |                   asyncio.threads
import time:       295 |        295 |                     asyncio.base_subprocess
import time:       865 |        865 |                     asyncio.selector_events
import time:       549 |       1707 |                   asyncio.unix_events
import time:       246 |      20478 |                 asyncio
import time:       250 |        250 |                   asgiref
import time:       506 |        506 |                       _queue
import time:       276 |        781 |                     queue
import time:       167 |        948 |                   concurrent.futures.thread
import time:       299 |        299 |                   asgiref.current_thread_executor
import time:       306 |        306 |                   asgiref.local
import time:       711 |       2512 |                 asgiref.sync
import time:       375 |      23364 |               django.dispatch.dispatcher
import time:       466 |      23829 |             django.dispatch
import time:       194 |      24022 |           django.core.signals
import time:       265 |        265 |             django.core.cache.backends
import time:       344 |        609 |           django.core.cache.backends.base
import time:       145 |        145 |           django.utils.connection
import time:       238 |      25013 |         django.core.cache
import time:       210 |        210 |           glob
import time:       320 |        320 |             _compat_pickle
import time:       590 |        590 |             _pickle
import time:       708 |       1617 |           pickle
import time:       457 |        457 |               _bisect
import time:       106 |        563 |             bisect
import time:       626 |        626 |             _random
import time:       519 |        519 |             _sha2
import time:       444 |       2149 |           random
import time:       545 |        545 |               zlib
import time:       257 |        257 |                 _compression
import time:       608 |        608 |                 _bz2
import time:       287 |       1151 |               bz2
import time:       665 |        665 |                 _lzma
import time:       283 |        947 |               lzma
import time:       530 |       3171 |             shutil
import time:       439 |       3609 |           tempfile
import time:      1011 |       1011 |             _hashlib
import time:       542 |        542 |             _blake2
import time:       363 |       1915 |           hashlib
import time:       132 |        132 |               django.core.files.utils
import time:       277 |        408 |             django.core.files.base
import time:       218 |        626 |           django.core.files
import time:       102 |        102 |           django.core.files.locks
import time:        82 |         82 |           django.core.files.move
import time:       267 |      10575 |         django.core.cache.backends.filebased
import time:       203 |      35790 |       django.core.checks.caches
import time:       102 |        102 |       django.core.checks.commands
import time:   1191064 |    1191064 |         django.core.checks.compatibility
import time:   1796143 |    2987207 |       django.core.checks.compatibility.django_4_0
import time:   1842286 |    1842286 |           django.db.utils
import time:   2125594 |    3967880 |         django.db
import time:   1768494 |    5736373 |       django.core.checks.database
import time:   1794942 |    1794942 |       django.core.checks.files
import time:   1751819 |    1751819 |       django.core.checks.model_checks
import time:   1817750 |    1817750 |         django.core.checks.security
import time:   1122909 |    2940659 |       django.core.checks.security.base
import time:   2649386 |    2649386 |       django.core.checks.security.csrf
import time:   1662929 |    1662929 |       django.core.checks.security.sessions
import time:   1675925 |    1675925 |       django.core.checks.templates
import time:      1179 |       1179 |               numbers
import time:      3745 |       4924 |             _decimal
import time:       992 |       5915 |           decimal
import time:      1615 |       1615 |             termios
import time:        97 |         97 |             pywatchman
import time:   1753653 |    1755364 |           django.utils.autoreload
import time:   2125468 |    3886747 |         django.utils.translation
import time:   1804047 |    1804047 |           django.conf.locale
import time:   2111011 |    2111011 |           django.utils.safestring
import time:   2764377 |    6679434 |         django.utils.translation.trans_real
import time:   1529371 |   12095551 |       django.core.checks.translation
import time:   1767986 |    1767986 |       django.core.checks.urls
import time:      2337 |   35102233 |     django.core.checks
import time:   2041540 |    2041540 |       django.utils.termcolors
import time:       766 |        766 |       colorama
import time:   1771165 |    3813471 |     django.core.management.color
import time:      1797 |   38917500 |   django.core.management.base
import time:       683 |   38950903 | django.core.management
import time:      6681 |       6681 |         http
import time:      2981 |       2981 |         http.cookies
import time:   2608665 |    2618326 |       django.http.cookie
import time:       879 |        879 |                 _json
import time:       303 |       1182 |               json.scanner
import time:       361 |       1543 |             json.decoder
import time:       276 |        276 |             json.encoder
import time:       208 |       2026 |           json
import time:       727 |        727 |             hmac
import time:       494 |        494 |             secrets
import time:   1426800 |    1426800 |             django.utils.encoding
import time:   2007262 |    3435281 |           django.utils.crypto
import time:   2211848 |    5649154 |         django.core.signing
import time:   2105430 |    2105430 |             django.core.files.temp
import time:   1919205 |    4024635 |           django.core.files.uploadedfile
import time:   1532465 |    5557099 |         django.core.files.uploadhandler
import time:      2068 |       2068 |             html.entities
import time:      1088 |       3156 |           html
import time:   1367823 |    1367823 |           django.utils.datastructures
import time:      1907 |       1907 |             unicodedata
import time:       512 |        512 |               email
import time:      1397 |       1397 |                 calendar
import time:       516 |       1912 |               email._parseaddr
import time:       412 |        412 |                 email.base64mime
import time:       686 |        686 |                 email.quoprimime
import time:      1098 |       1098 |                 email.errors
import time:       423 |        423 |                   quopri
import time:       337 |        759 |                 email.encoders
import time:       555 |       3508 |               email.charset
import time:      1749 |       7680 |             email.utils
import time:   2798241 |    2807827 |           django.utils.http
import time:   2706058 |    6884862 |         django.http.multipartparser
import time:   1955351 |   20046464 |       django.http.request
import time:       173 |        173 |           _winapi
import time:       138 |        138 |           winreg
import time:      1139 |       1449 |         mimetypes
import time:      1442 |       1442 |         email.header
import time:      1404 |       1404 |               email._policybase
import time:      1244 |       2647 |             email.feedparser
import time:       540 |       3186 |           email.parser
import time:       825 |        825 |             email._encoded_words
import time:       622 |        622 |             email.iterators
import time:      1546 |       2991 |           email.message
import time:      2017 |       8194 |         http.client
import time:   1870549 |    1870549 |                   django.db.models.utils
import time:   2255042 |    4125591 |                 django.db.models.signals
import time:      2913 |       2913 |                       _uuid
import time:      2147 |       5060 |                     uuid
import time:   1018033 |    1018033 |                                         django.template.context
import time:   1936389 |    1936389 |                                         django.utils.deprecation
import time:   1263537 |    1263537 |                                             django.utils.dates
import time:      2095 |       2095 |                                                   sysconfig
import time:      2345 |       2345 |                                                   _sysconfigdata__darwin_darwin
import time:       689 |        689 |                                                   _osx_support
import time:      5589 |      10716 |                                                 zoneinfo._tzpath
import time:       702 |        702 |                                                 zoneinfo._common
import time:      3803 |       3803 |                                                 _zoneinfo
import time:      2732 |      17952 |                                               zoneinfo
import time:   1989221 |    2007172 |                                             django.utils.timezone
import time:   1557182 |    4827890 |                                           django.utils.dateformat
import time:    945875 |     945875 |                                           django.utils.numberformat
import time:   1395939 |    7169703 |                                         django.utils.formats
import time:      1224 |       1224 |                                             _markupbase
import time:      2753 |       3977 |                                           html.parser
import time:   1405737 |    1405737 |                                             django.utils.deconstruct
import time:   1591484 |    1591484 |                                             django.utils.ipv6
import time:   1459080 |    4456301 |                                           django.core.validators
import time:      1964 |       1964 |                                             gzip
import time:   1558860 |    1560824 |                                           django.utils.text
import time:   1905874 |    7926974 |                                         django.utils.html
import time:   2283186 |    2283186 |                                         django.template.exceptions
import time:   2239000 |   22573282 |                                       django.template.base
import time:   2521362 |    2521362 |                                       django.template.library
